"highSchool","name","position","Posiciones","shoots","anio","mes","dia","Altura_CM","Altura_CM_DOS","PesoNuevo"
"Oak Hill Academy in Mouth of Wilson, Virginia","Arvydas Macijauskas","Shooting Guard","Shooting","Right","1980","01","19",182.88,121.92,96.3
"Eastern School of Commerce in Toronto, Canada","Jamaal Magloire","Center","Center","Right","1978","05","21",182.88,335.28,116.55
"Oak Hill Academy in Mouth of Wilson, Virginia","Ian Mahinmi","Center","Center","Right","1986","11","05",182.88,335.28,117.9
"Athlete Institute Academy in Mono, Canada","Thon Maker","Center and Power Forward","Center","Right","1997","02","25",213.36,30.48,99.45
"Petersburg in Petersburg, Virginia","Moses Malone","Power Forward and Center","Power","Right","1955","03","23",182.88,304.8,96.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Sarunas Marciulionis","Small Forward and Shooting Guard","Small","Left","1964","06","13",182.88,152.4,90
"Oak Hill Academy in Mouth of Wilson, Virginia","Boban Marjanovic","Center","Center","Right","1988","08","15",213.36,91.44,130.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Damir Markota","Power Forward","Power","Right","1985","12","26",182.88,304.8,101.25
"Estudiantes in Madrid, Spain","Fernando Martin","Center","Center","Right","1962","03","25",182.88,274.32,99
"Cardinal Hayes in Bronx, New York","Jamal Mashburn","Small Forward","Small","Right","1972","11","29",182.88,243.84,108
"Harrison in Evansville, Indiana","Walter McCarty","Small Forward and Power Forward","Small","Right","1974","02","01",182.88,304.8,103.5
"Mount Zion Christian Academy in Durham, North Carolina","Tracy McGrady","Shooting Guard and Small Forward","Shooting","Right","1979","05","24",182.88,243.84,94.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Stanislav Medvedenko","Power Forward and Center","Power","Right","1979","04","04",182.88,304.8,112.5
"Norcross in Norcross, Georgia","Jodie Meeks","Shooting Guard","Shooting","Right","1987","08","21",182.88,121.92,94.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Salah Mejri","Center","Center","Right","1986","06","15",213.36,60.96,105.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Ron Mercer","Small Forward and Shooting Guard","Small","Right","1976","05","18",182.88,213.36,94.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Stan Miasek","Power Forward and Small Forward","Power","Right","1923","09","19",182.88,152.4,94.5
"Ford City in Ford City, Pennsylvania","Red Mihalik","Guard","Guard","Right","1916","09","22",182.88,0,81
"Skyline in Dallas, Texas","C.J. Miles","Shooting Guard and Small Forward and Point Guard","Shooting","Left","1987","03","18",182.88,182.88,99
"East St. Louis in East St. Louis, Illinois","Darius Miles","Small Forward","Small","Right","1981","10","09",182.88,274.32,94.5
"Kranj in Kranj, Slovenia","Marko Milic","Shooting Guard and Small Forward","Shooting","Right","1977","05","07",182.88,182.88,105.75
"Hemiska in Novi Sad, Serbia","Darko Milicic","Power Forward and Center","Power","Left","1985","06","20",213.36,0,112.5
"Mason County in Maysville, Kentucky","Darius Miller","Small Forward","Small","Right","1990","03","21",182.88,243.84,101.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Yao Ming","Center","Center","Right","1980","09","12",213.36,182.88,139.5
"Lafayette in Lexington, Kentucky","Dirk Minniefield","Point Guard","Point","Right","1961","01","17",182.88,91.44,81
"Oak Hill Academy in Mouth of Wilson, Virginia","Nikola Mirotic","Power Forward","Power","Right","1991","02","11",182.88,304.8,112.5
"Kenwood in Chicago, Illinois","Nazr Mohammed","Center","Center","Right","1977","09","05",182.88,304.8,99.45
"Oak Hill Academy in Mouth of Wilson, Virginia","Sergei Monia","Small Forward","Small","Right","1983","04","15",182.88,243.84,99
"Bentonville in Bentonville, Arkansas","Malik Monk","Shooting Guard","Shooting","Right","1998","02","04",182.88,91.44,90
"Oak Hill Academy in Mouth of Wilson, Virginia","Larry Moore","Forward","Forward","Right","1948","07","26",182.88,213.36,96.75
"Landmark Christian School in Fairburn, Georgia","Randolph Morris","Center and Power Forward","Center","Right","1986","01","02",182.88,304.8,119.7
"Oak Hill Academy in Mouth of Wilson, Virginia","Donatas Motiejunas","Power Forward","Power","Left","1990","09","20",213.36,0,99.9
"Oak Hill Academy in Mouth of Wilson, Virginia","Timofey Mozgov","Center","Center","Right","1986","07","16",213.36,30.48,123.75
"Prime Prep Academy in Dallas, Texas","Emmanuel Mudiay","Point Guard","Point","Right","1996","03","05",182.88,152.4,90
"Oak Hill Academy in Mouth of Wilson, Virginia","Gheorghe Muresan","Center","Center","Right","1971","02","14",213.36,213.36,136.35
"Simon Gratz in Philadelphia, Pennsylvania","John Murphy","Forward","Forward","Right","1924","09","13",182.88,60.96,78.75
"Orangeville Prep in Orangeville, Canada","Jamal Murray","Shooting Guard and Point Guard","Shooting","Right","1997","02","23",182.88,121.92,93.15
"Oak Hill Academy in Mouth of Wilson, Virginia","Dzanan Musa","Shooting Guard","Shooting","Right","1999","05","08",182.88,274.32,93.6
"Oak Hill Academy in Mouth of Wilson, Virginia","Martin Muursepp","Power Forward","Power","Right","1974","09","26",182.88,274.32,105.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Boniface N'Dong","Center","Center","Right","1977","03","09",213.36,0,89.1
"Oak Hill Academy in Mouth of Wilson, Virginia","Bostjan Nachbar","Power Forward and Small Forward","Power","Right","1980","07","03",182.88,274.32,99.45
"Lake Charles in Lake Charles, Louisiana","Cotton Nash","Small Forward","Small","Right","1942","07","24",182.88,152.4,96.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Juan Carlos Navarro","Shooting Guard","Shooting","Right","1980","06","13",182.88,91.44,76.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Nemanja Nedovic","Shooting Guard","Shooting","Right","1991","06","16",182.88,91.44,86.4
"Gymnasium in Sremski Karlovci, Slovenia","Rasho Nesterovic","Center","Center","Right","1976","05","30",213.36,0,111.6
"Oak Hill Academy in Mouth of Wilson, Virginia","Raul Neto","Point Guard","Point","Right","1992","05","19",182.88,30.48,80.55
"Oak Hill Academy in Mouth of Wilson, Virginia","Andres Nocioni","Small Forward and Power Forward","Small","Right","1979","11","30",182.88,213.36,101.25
"Tilton in Tilton, New Hampshire","Nerlens Noel","Power Forward and Center","Power","Right","1994","04","10",182.88,335.28,99
"Oak Hill Academy in Mouth of Wilson, Virginia","Paul Noel","Forward","Forward","Right","1924","08","17",182.88,121.92,83.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Lucas Nogueira","Center","Center","Right","1992","07","26",213.36,0,108.45
"Rontgen Gymnasium in Wurzburg, Germany","Dirk Nowitzki","Power Forward and Center","Power","Right","1978","06","19",213.36,0,110.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Frank Ntilikina","Point Guard","Point","Right","1998","07","28",182.88,182.88,90
"Oak Hill Academy in Mouth of Wilson, Virginia","Jusuf Nurkic","Center","Center","Right","1994","08","23",213.36,0,123.75
"Eau Claire in Columbia, South Carolina","Jermaine O'Neal","Power Forward and Center","Power","Right","1978","10","13",182.88,335.28,101.7
"Oak Hill Academy in Mouth of Wilson, Virginia","Fabricio Oberto","Power Forward and Center","Power","Right","1975","03","21",182.88,304.8,110.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Tim Ohlbrecht","Center","Center","Right","1988","08","30",182.88,335.28,114.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Elie Okobo","Point Guard","Point","Left","1997","10","23",182.88,91.44,85.5
"Cem Sultan in Gazcilar Bursa, Turkey","Mehmet Okur","Power Forward and Center","Power","Right","1979","05","26",182.88,335.28,112.05
"Bishop McGuiness in Oklahoma City, Oklahoma","Daniel Orton","Center and Power Forward","Center","Right","1990","08","06",182.88,304.8,114.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Cedi Osman","Small Forward","Small","Right","1995","04","08",182.88,243.84,96.75
"Starkville in Starkville, Mississippi","Travis Outlaw","Power Forward and Small Forward","Power","Right","1984","09","18",182.88,274.32,94.5
"Community in Ibadan, Nigeria","Olumide Oyedeji","Center","Center","Right","1981","05","11",182.88,304.8,108
"Oak Hill Academy in Mouth of Wilson, Virginia","Zaza Pachulia","Center","Center","Right","1984","02","10",182.88,335.28,121.5
"Saint Xavier in Louisville, Kentucky","Scott Padgett","Power Forward","Power","Right","1976","04","19",182.88,274.32,108
"Westtown in West Chester, Pennsylvania","Georgios Papagiannis","Center","Center","Right","1997","07","03",213.36,30.48,108
"Oak Hill Academy in Mouth of Wilson, Virginia","Kostas Papanikolaou","Small Forward","Small","Left","1990","07","31",182.88,243.84,101.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Tony Parker","Point Guard","Point","Right","1982","05","17",182.88,60.96,83.25
"Yorktown in Yorktown, Indiana","Jack Parkinson","Guard","Guard","Right","1924","03","04",182.88,0,78.3
"Oak Hill Academy in Mouth of Wilson, Virginia","Zarko Paspalj","Small Forward","Small","Left","1966","03","27",182.88,274.32,96.75
"Huntington in Huntington, West Virginia","Patrick Patterson","Power Forward","Power","Right","1989","03","14",182.88,274.32,103.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Sasha Pavlovic","Small Forward and Shooting Guard","Small","Right","1983","11","15",182.88,243.84,99
"Shawnee in Louisville, Kentucky","Tom Payne","Center","Center","Right","1950","11","19",213.36,60.96,108
"Oak Hill Academy in Mouth of Wilson, Virginia","Oleksiy Pecherov","Center","Center","Right","1985","12","08",213.36,0,104.4
"Oak Hill Academy in Mouth of Wilson, Virginia","Nikola Pekovic","Center","Center","Right","1986","01","03",182.88,335.28,138.15
"Clifton J. Ozen in Beaumont, Texas","Kendrick Perkins","Center","Center","Right","1984","11","10",182.88,304.8,121.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Kosta Perovic","Center","Center","Right","1985","02","19",213.36,60.96,108
"Oak Hill Academy in Mouth of Wilson, Virginia","Johan Petro","Center","Center","Right","1986","01","27",213.36,0,111.15
"Sibenik in Sibenik, Croatia","Drazen Petrovic","Shooting Guard","Shooting","Right","1964","10","22",182.88,152.4,87.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Mickael Pietrus","Point Guard and Small Forward and Shooting Guard","Point","Right","1982","02","07",182.88,182.88,96.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Zoran Planinic","Point Guard and Shooting Guard","Point","Right","1982","09","12",182.88,213.36,87.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Tibor Pleiss","Center","Center","Right","1989","11","02",213.36,91.44,115.2
"Oak Hill Academy in Mouth of Wilson, Virginia","Pavel Podkolzin","Center","Center","Right","1985","01","15",213.36,152.4,117
"Oak Hill Academy in Mouth of Wilson, Virginia","Kristaps Porzingis","Power Forward","Power","Right","1995","08","02",213.36,91.44,108
"Northeast in Clarksville, Tennessee","Alex Poythress","Power Forward","Power","Right","1993","09","06",182.88,274.32,105.75
"Meadowdale in Dayton, Ohio","Mike Pratt","Shooting Guard","Shooting","Right","1948","08","04",182.88,121.92,87.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Pablo Prigioni","Point Guard","Point","Right","1977","05","17",182.88,91.44,83.25
"Dominguez in Compton, California","Tayshaun Prince","Small Forward","Small","Left","1980","02","28",182.88,274.32,95.4
"Oak Hill Academy in Mouth of Wilson, Virginia","Zhou Qi","Power Forward and Center","Power","Right","1996","01","16",213.36,30.48,94.5
"Technical School Ctr in Split, Croatia","Dino Radja","Power Forward and Center","Power","Right","1967","04","24",182.88,335.28,101.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Vladimir Radmanovic","Small Forward and Power Forward","Small","Right","1980","11","19",182.88,304.8,102.15
"Oak Hill Academy in Mouth of Wilson, Virginia","Miroslav Raduljica","Center","Center","Right","1988","01","05",213.36,0,112.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Igor Rakocevic","Point Guard","Point","Right","1978","03","29",182.88,91.44,82.35
"Oak Hill Academy in Mouth of Wilson, Virginia","Peter John Ramos","Center","Center","Right","1985","05","13",213.36,91.44,123.75
"Madisonville in Madisonville, Kentucky","Frank Ramsey","Shooting Guard and Small Forward","Shooting","Right","1931","07","13",182.88,91.44,85.5
"Prestonwood Christian in Plano, Texas","Julius Randle","Power Forward and Center","Power","Left","1994","11","29",182.88,274.32,112.5
"Oak Hill Academy in Mouth of Wilson, Virginia","George Ratkovicz","Power Forward","Power","Right","1922","11","13",182.88,182.88,99
"Oak Hill Academy in Mouth of Wilson, Virginia","Zeljko Rebraca","Center","Center","Right","1972","04","09",213.36,0,115.65
"Oak Hill Academy in Mouth of Wilson, Virginia","Efthimi Rentzias","Center","Center","Right","1976","01","11",182.88,335.28,112.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Antoine Rigaudeau","Shooting Guard","Shooting","Right","1971","12","17",182.88,213.36,94.5
"Linton in Schenectady, New York","Pat Riley","Shooting Guard and Small Forward","Shooting","Right","1945","03","20",182.88,121.92,92.25
"Brother Martin in New Orleans, Louisiana","Rick Robey","Center","Center","Right","1956","01","30",182.88,335.28,103.5
"Chalmette in Chalmette, Louisiana","Mitchell Robinson","Center","Center","Right","1998","04","01",213.36,30.48,108
"Oak Hill Academy in Mouth of Wilson, Virginia","Sergio Rodriguez","Point Guard","Point","Right","1986","06","12",182.88,91.44,79.2
"Wickliffe in Wickliffe, Kentucky","Kenny Rollins","Point Guard","Point","Right","1923","09","14",182.88,0,75.6
"Oak Hill Academy in Mouth of Wilson, Virginia","Rajon Rondo","Point Guard","Point","Right","1986","02","22",182.88,30.48,83.7
"Oak Hill Academy in Mouth of Wilson, Virginia","Ricky Rubio","Point Guard","Point","Right","1990","10","21",182.88,121.92,85.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Damjan Rudez","Small Forward","Small","Right","1986","06","17",182.88,304.8,102.6
"Oak Hill Academy in Mouth of Wilson, Virginia","Stefano Rusconi","Power Forward","Power","Right","1968","10","02",182.88,274.32,108
"Oak Hill Academy in Mouth of Wilson, Virginia","Arvydas Sabonis","Center","Center","Right","1964","12","19",213.36,91.44,125.55
"Oak Hill Academy in Mouth of Wilson, Virginia","Soumaila Samake","Center","Center","Right","1978","03","18",213.36,0,103.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Cheikh Samb","Center","Center","Right","1984","10","22",213.36,30.48,110.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Dario Saric","Power Forward","Power","Right","1994","04","08",182.88,304.8,100.35
"Oak Hill Academy in Mouth of Wilson, Virginia","Tomas Satoransky","Shooting Guard and Point Guard","Shooting","Right","1991","10","30",182.88,213.36,94.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Dennis Schroder","Point Guard","Point","Right","1993","09","15",182.88,30.48,77.4
"Oak Hill Academy in Mouth of Wilson, Virginia","Luis Scola","Power Forward","Power","Right","1980","04","30",182.88,274.32,108
"Oak Hill Academy in Mouth of Wilson, Virginia","Thabo Sefolosha","Small Forward and Shooting Guard","Small","Right","1984","05","02",182.88,213.36,99
"Oak Hill Academy in Mouth of Wilson, Virginia","Mouhamed Sene","Center","Center","Right","1986","05","12",182.88,335.28,103.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Kevin Seraphin","Power Forward and Center","Power","Right","1989","12","07",182.88,274.32,128.25
"Samil Commercial in Suwon, Republic of Korea","Ha Seung-Jin","Center","Center","Right","1985","08","04",213.36,91.44,137.25
"James Monroe in Bronx, New York","Nick Shaback","Guard","Guard","Right","1918","09","10",152.4,335.28,81
"Oak Hill Academy in Mouth of Wilson, Virginia","Tornike Shengelia","Small Forward","Small","Right","1991","10","05",182.88,274.32,97.65
"McIntosh in Peachtree City, Georgia","Jeff Sheppard","Shooting Guard","Shooting","Right","1974","09","29",182.88,91.44,85.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Alexey Shved","Shooting Guard","Shooting","Right","1988","12","16",182.88,182.88,85.5
"Flushing in Flushing, New York","Connie Simmons","Center and Power Forward","Center","Right","1925","03","15",182.88,243.84,99.9
"IMG Academy in Bradenton, Florida","Anfernee Simons","Shooting Guard","Shooting","Right","1999","06","08",182.88,121.92,83.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Uros Slokar","Center","Center","Left","1983","05","14",182.88,304.8,107.1
"Farmington in Farmington, Kentucky","Adrian Smith","Shooting Guard","Shooting","Right","1936","10","05",182.88,30.48,81
"Saint Benedict's Preparatory School in Newark, New Jersey","J.R. Smith","Small Forward and Shooting Guard","Small","Right","1985","09","09",182.88,182.88,101.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Josh Smith","Small Forward and Power Forward","Small","Left","1985","12","05",182.88,274.32,101.25
"Martin Luther King in Chicago, Illinois","Leon Smith","Center","Center","Right","1980","11","02",182.88,304.8,105.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Vassilis Spanoulis","Shooting Guard","Shooting","Right","1982","08","07",182.88,121.92,87.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Tiago Splitter","Center and Power Forward","Center","Right","1985","01","01",182.88,335.28,110.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Jim Springer","Center","Center","Right","1926","06","17",182.88,274.32,105.75
"Central Catholic in Fort Wayne, Indiana","Ed Stanczak","Forward","Forward","Right","1921","08","15",182.88,30.48,83.25
"Bainbridge in Bainbridge, Indiana","Larry Steele","Small Forward and Shooting Guard","Small","Right","1949","05","05",182.88,152.4,81
"Oak Hill Academy in Mouth of Wilson, Virginia","Vladimir Stepania","Center","Center","Right","1976","05","08",213.36,0,106.2
"Washington Union in Fresno, California","DeShawn Stevenson","Small Forward and Shooting Guard","Small","Right","1981","04","03",182.88,152.4,94.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Peja Stojakovic","Small Forward","Small","Right","1977","06","09",182.88,274.32,99
"Cypress Creek in Orlando, Florida","Amar'e Stoudemire","Center and Power Forward","Center","Right","1982","11","16",182.88,304.8,110.25
"Winchendon School in Winchendon, Massachusetts","Bruno Sundov","Center","Center","Right","1980","02","10",213.36,60.96,99
"Bakersfield in Bakersfield, California","Robert Swift","Center","Center","Right","1985","12","03",213.36,0,110.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Pape Sy","Small Forward","Small","Right","1988","04","05",182.88,213.36,101.25
"Split in Split, Croatia","Zan Tabak","Center","Center","Right","1970","06","15",213.36,0,110.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Dragan Tarlac","Center","Center","Right","1973","05","09",182.88,304.8,117
"Oak Hill Academy in Mouth of Wilson, Virginia","Edy Tavares","Center","Center","Right","1992","03","22",213.36,91.44,117
"Pike in Indianapolis, Indiana","Marquis Teague","Point Guard and Shooting Guard","Point","Right","1993","02","28",182.88,60.96,85.05
"Oak Hill Academy in Mouth of Wilson, Virginia","Mirza Teletovic","Small Forward and Power Forward","Small","Right","1985","09","18",182.88,274.32,108.9
"Abraham Lincoln in Brooklyn, New York","Sebastian Telfair","Point Guard","Point","Right","1985","06","09",182.88,0,74.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Milos Teodosic","Point Guard","Point","Right","1987","03","19",182.88,152.4,88.2
"Oak Hill Academy in Mouth of Wilson, Virginia","Daniel Theis","Center","Center","Right","1992","04","04",182.88,243.84,109.35
"Trimble in Bedford, Kentucky","Jack Tingle","Forward","Forward","Right","1924","12","30",182.88,121.92,92.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Oscar Torres","Shooting Guard","Shooting","Right","1976","12","18",182.88,182.88,94.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Axel Toupane","Small Forward","Small","Right","1992","07","23",182.88,213.36,88.65
"St. Joseph in Metuchen, New Jersey","Karl-Anthony Towns","Center","Center","Right","1995","11","15",213.36,0,111.6
"Oak Hill Academy in Mouth of Wilson, Virginia","Cezary Trybanski","Center","Center","Right","1979","09","22",213.36,60.96,108
"Oak Hill Academy in Mouth of Wilson, Virginia","Jake Tsakalidis","Center","Center","Right","1979","06","10",213.36,60.96,128.25
"English in Lynn, Massachusetts","Lou Tsioropoulos","Small Forward","Small","Right","1930","08","31",182.88,152.4,85.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Nikoloz Tskitishvili","Small Forward and Power Forward","Small","Right","1983","04","14",213.36,0,101.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Mirsad Turkcan","Power Forward","Power","Right","1976","06","07",182.88,274.32,106.2
"Oak Hill Academy in Mouth of Wilson, Virginia","Hedo Turkoglu","Power Forward and Small Forward","Power","Right","1979","03","19",182.88,304.8,99
"Beaver Country Day in Chestnut Hill, Massachusetts","Wayne Turner","Point Guard","Point","Right","1976","03","22",182.88,60.96,85.5
"Bryan Station in Lexington, Kentucky","Melvin Turpin","Center","Center","Right","1960","12","28",182.88,335.28,108
"San Diego in San Diego, California","Jeremy Tyler","Center","Center","Right","1991","06","21",182.88,304.8,117
"Oak Hill Academy in Mouth of Wilson, Virginia","Beno Udrih","Shooting Guard and Point Guard","Shooting","Left","1982","07","05",182.88,91.44,92.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Roko Ukic","Point Guard","Point","Right","1984","05","12",182.88,152.4,82.35
"Marian Catholic in Chicago Heights, Illinois","Tyler Ulis","Point Guard","Point","Right","1996","01","05",152.4,304.8,72
"Oak Hill Academy in Mouth of Wilson, Virginia","Jonas Valanciunas","Center","Center","Right","1992","05","06",213.36,0,119.25
"Victory Prep Academy in Houston, Texas","Jarred Vanderbilt","Power Forward","Power","Right","1999","04","03",182.88,274.32,96.3
"Oak Hill Academy in Mouth of Wilson, Virginia","Ratko Varda","Center","Center","Right","1979","05","06",213.36,30.48,117
"Oak Hill Academy in Mouth of Wilson, Virginia","Anderson Varejao","Power Forward and Center","Power","Right","1982","09","28",182.88,304.8,122.85
"Oak Hill Academy in Mouth of Wilson, Virginia","Jan Vesely","Power Forward","Power","Right","1990","04","24",182.88,335.28,108
"Oak Hill Academy in Mouth of Wilson, Virginia","Gundars Vetra","Small Forward","Small","Right","1967","05","22",182.88,182.88,87.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Joao Vianna","Small Forward","Small","Right","1966","11","15",182.88,274.32,96.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Marcus Vinicius","Small Forward","Small","Right","1984","05","31",182.88,243.84,101.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Alexander Volkov","Center","Center","Right","1964","03","28",182.88,304.8,98.1
"Oak Hill Academy in Mouth of Wilson, Virginia","Slavko Vranes","Center","Center","Right","1983","01","30",213.36,152.4,123.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Stojko Vrankovic","Center","Center","Right","1964","01","22",213.36,60.96,117
"Oak Hill Academy in Mouth of Wilson, Virginia","Sasha Vujacic","Point Guard and Shooting Guard","Point","Right","1984","03","08",182.88,213.36,87.75
"Mount Carmel in Chicago, Illinois","Antoine Walker","Power Forward","Power","Right","1976","08","12",182.88,243.84,100.8
"Crawford County in Roberta, Georgia","Kenny Walker","Power Forward and Small Forward","Power","Right","1964","08","18",182.88,243.84,94.5
"Word of God Academy in Raleigh, North Carolina","John Wall","Point Guard","Point","Right","1990","09","06",182.88,121.92,94.5
"Benjamin Franklin in New York, New York","Isaac Walthour","Guard","Guard","Right","1930","08","25",152.4,335.28,73.35
"Duncanville High School in Duncanville, Texas","Julian Washburn","Small Forward","Small","Right","1991","12","18",182.88,243.84,94.5
"Owensboro in Owensboro, Kentucky","Bobby Watson","Point Guard","Point","Right","1930","03","22",182.88,0,72
"Seattle Preparatory School in Seattle, Washington","Martell Webster","Small Forward","Small","Right","1986","12","04",182.88,213.36,103.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Jiri Welsch","Small Forward and Shooting Guard","Small","Right","1980","01","27",182.88,213.36,93.6
"Sarasota in Sarasota, Florida","Skippy Whitaker","Point Guard","Point","Right","1930","08","29",182.88,30.48,81
"South Gwinnett in Snellville, Georgia","Lou Williams","Shooting Guard and Point Guard","Shooting","Right","1986","10","27",182.88,30.48,78.75
"Dwight Morrow in Englewood, New Jersey","Bill Willoughby","Small Forward","Small","Right","1957","05","20",182.88,243.84,92.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Ruben Wolkowyski","Power Forward","Power","Right","1973","09","30",182.88,304.8,121.5
"South Kent School in South Kent, Connecticut","Dorell Wright","Small Forward","Small","Right","1985","12","02",182.88,274.32,92.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Guerschon Yabusele","Power Forward","Power","Right","1995","12","17",182.88,243.84,117
"Rochester in Rochester Hills, Michigan","James Young","Shooting Guard","Shooting","Left","1995","08","16",182.88,182.88,96.75
"Hargrave Military Academy in Chatham, Virginia","Korleone Young","Small Forward","Small","Right","1978","12","31",182.88,213.36,95.85
"Oak Hill Academy in Mouth of Wilson, Virginia","Sun Yue","Shooting Guard","Shooting","Left","1985","11","06",182.88,274.32,92.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Wang Zhizhi","Center","Center","Left","1977","07","08",213.36,0,114.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Paul Zipser","Small Forward","Small","Right","1994","02","18",182.88,243.84,96.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Ante Zizic","Center","Center","Right","1997","01","04",182.88,335.28,114.3
"Oak Hill Academy in Mouth of Wilson, Virginia","Ivica Zubac","Center","Center","Right","1997","03","18",213.36,30.48,108
